English,Tamil,Malayalam,Telugu,Hindi
really,உண்மையில்,ശരിക്കും,నిజంగా,वास्तव में
something,ஏதோ ஒன்று,എന്തോ,ఏదో,कुछ
most,பெரும்பாலான,ഏറ്റവും,అత్యంత,अधिकांश
another,மற்றொன்று,മറ്റൊന്ന്,మరొకటి,एक और
much,மிகவும்,വളരെ,చాలా,अधिकता
family,குடும்பம்,കുടുംബം,కుటుంబం,परिवार
own,சொந்தம்,സ്വന്തം,స్వంతం,अपना
leave,விடு,വിട്ടേക്കുക,వదిలివేయండి,छुट्टी
put,வைத்தது,ഇട്ടു,చాలు,रखना
old,பழைய,പഴയത്,పాతది,पुराना
while,போது,സമയത്ത്,అయితే,जबकि
mean,அர்த்தம்,അർത്ഥമാക്കുന്നത്,అర్థం,अर्थ
keep,வை,സൂക്ഷിക്കുക,ఉంచు,रखना
student,மாணவர்,വിദ്യാർത്ഥി,విద్యార్థి,विद्यार्थी
why,ஏன்,എന്തുകൊണ്ട്,ఎందుకు,क्यों
let,அனுமதிக்க,അനുവദിക്കുക,వీలు,होने देना
great,நன்று,വലിയ,గొప్ప,महान
same,அதே,അതേ,అదే,वही
big,பெரிய,വലിയ,పెద్ద,बड़ा
group,குழு,ഗ്രൂപ്പ്,సమూహం,समूह
begin,தொடங்கும்,ആരംഭിക്കുന്നു,ప్రారంభం,शुरू
seem,தெரிகிறது,തോന്നുന്നു,అనిపించవచ్చు,प्रतीत होना
country,நாடு,രാജ്യം,దేశం,देश
help,உதவி,സഹായം,సహాయం,मदद
talk,பேசு,സംസാരിക്കുക,మాట్లాడండి,बात करना
where,எங்கே,എവിടെ,ఎక్కడ,कहाँ
turn,திரும்ப,വളവ്,మలుపు,मोड़
problem,பிரச்சனை,പ്രശ്നം,సమస్య,संकट
every,ஒவ்வொரு,ഓരോന്നും,ప్రతి,प्रत्येक
start,தொடங்கு,ആരംഭിക്കുക,ప్రారంభించండి,शुरू
hand,கை,കൈ,చెయ్యి,हाथ
might,கூடும்,ഒരുപക്ഷേ,ఉండవచ్చు,हो सकता है
American,அமெரிக்கன்,അമേരിക്കൻ,అమెరికన్,अमेरिकन
show,நிகழ்ச்சி,കാണിക്കുക,చూపించు,दिखाओ
part,பகுதி,ഭാഗം,భాగం,भाग
against,எதிராக,എതിരായി,వ్యతిరేకంగా,ख़िलाफ़
place,இடம்,സ്ഥലം,స్థలం,जगह
such,அத்தகைய,അത്തരം,అటువంటి,ऐसा
again,மீண்டும்,വീണ്ടും,మళ్ళీ,दोबारा
few,சில,കുറച്ച്,కొన్ని,कुछ
case,வழக்கு,കേസ്,కేసు,मामला
week,வாரம்,ആഴ്ച,వారం,सप्ताह
company,நிறுவனம்,കമ്പനി,సంస్థ,कंपनी
system,அமைப்பு,സിസ്റ്റം,వ్యవస్థ,प्रणाली
each,ஒவ்வொன்றும்,ഓരോന്നും,ప్రతి,प्रत्येक
right,சரி,ശരിയാണ്,కుడి,सही
program,திட்டம்,പ്രോഗ്രാം,కార్యక్రమం,कार्यक्रम
hear,கேள்,കേൾക്കുക,వింటారు,सुनो
question,கேள்வி,ചോദ്യം,ప్రశ్న,सवाल
during,போது,സമയത്ത്,సమయంలో,दौरान
play,விளையாடு,കളിക്കുക,ప్లే,खेल
government,அரசாங்கம்,സർക്കാർ,ప్రభుత్వం,सरकार
run,ஓடு,ഓടുക,పరుగు,दौड़ना
small,சிறிய,ചെറിയ,చిన్నది,छोटा
number,எண்,നമ്പർ,సంఖ్య,संख्या
off,ஆஃப்,ഓഫ്,ఆఫ్,बंद
always,எப்போதும்,എപ്പോഴും,ఎల్లప్పుడూ,हमेशा
move,நகர்வு,നീക്കുക,కదలిక,कदम
night,இரவு,രാത്രി,రాత్రి,रात
live,வாழ்க,ജീവിക്കുക,జీవించు,रहना
Mr,திரு,മിസ്റ്റർ,శ్రీ,श्री
point,புள்ளி,പോയിന്റ്,పాయింట్,बिंदु
believe,நம்பு,വിശ്വസിക്കുന്നു,నమ్మకం,विश्वास
hold,பிடி,പിടിക്കുക,పట్టుకోండి,पकड़ना
today,இன்று,ഇന്ന്,నేడు,आज
bring,கொண்டு,കൊണ്ടുവരിക,తీసుకురండి,लाना
happen,நடக்கும்,സംഭവിക്കുക,జరుగుతాయి,होना
next,அடுத்தது,അടുത്തത്,తరువాత,अगला
without,இல்லாமல்,കൂടാതെ,లేకుండా,बिना
before,முன்,മുമ്പ്,ముందు,पहले
large,பெரிய,വലിയ,పెద్ద,बड़ा
million,மில்லியன்,ദശലക്ഷം,మిలియన్,दस लाख
must,வேண்டும்,വേണം,తప్పక,अवश्य
home,வீடு,വീട്,ఇల్లు,घर
under,கீழ்,കീഴിൽ,కింద,अंतर्गत
water,தண்ணீர்,വെള്ളം,నీటి,पानी
room,அறை,മുറി,గది,कमरा
write,எழுது,എഴുതുക,వ్రాయడానికి,लिखना
mother,அம்மா,അമ്മ,తల్లి,माँ
area,பகுதி,പ്രദേശം,ప్రాంతం,क्षेत्र
national,தேசிய,ദേശീയ,జాతీయ,राष्ट्रीय
money,பணம்,പണം,డబ్బు,धन
story,கதை,കഥ,కథ,कहानी
young,இளம்,ചെറുപ്പക്കാർ,యువకుడు,युवा
fact,உண்மை,വസ്തുത,వాస్తవం,तथ्य
month,மாதம்,മാസം,నెల,महीना
different,வெவ்வேறு,വ്യത്യസ്ത,భిన్నమైనది,अलग
lot,நிறைய,ഭൂരിഭാഗം,చాలా,बहुत
study,படிப்பு,പഠനം,చదువు,अध्ययन
book,நூல்,പുസ്തകം,పుస్తకం,किताब
eye,கண்,കണ്ണ്,కన్ను,आँख
job,வேலை,ജോലി,ఉద్యోగం,काम
word,சொல்,വാക്ക്,పదం,शब्द
though,இருந்தாலும்,എങ്കിലും,అయితే,यद्यपि
business,வணிக,ബിസിനസ്സ്,వ్యాపారం,व्यापार
issue,பிரச்சினை,ഇഷ്യൂ,సమస్య,मुद्दा
side,பக்கம்,വശം,వైపు,ओर
kind,கருணை,ദയയുള്ള,రకం,दयालु
four,நான்கு,നാല്,నాలుగు,चार
head,தலை,തല,తల,सिर
far,இதுவரை,ബഹുദൂരം,దురముగా,दूर
black,கருப்பு,കറുപ്പ്,నలుపు,काला
long,நீளமானது,നീളമുള്ള,పొడవు,लंबा
both,இரண்டும்,രണ്ടും,రెండు,दोनों
little,கொஞ்சம்,അല്പം,కొద్దిగా,थोड़ा
house,வீடு,വീട്,ఇల్లు,घर
yes,ஆம்,അതെ,అవును,हाँ
since,இருந்து,മുതലുള്ള,నుండి,तब से
provide,வழங்குகின்றன,നൽകാൻ,అందించడానికి,उपलब्ध करवाना
service,சேவை,സേവനം,సేవ,सेवा
around,சுற்றி,ചുറ്റും,చుట్టూ,आस-पास
friend,நண்பர்,സുഹൃത്ത്,స్నేహితుడు,दोस्त
important,முக்கியமான,പ്രധാനപ്പെട്ടത്,ముఖ్యమైన,महत्वपूर्ण
father,அப்பா,അച്ഛൻ,తండ్రి,पिता
sit,உட்கார,ഇരിക്കുക,కూర్చోండి,बैठना
away,தொலைவில்,ദൂരെ,దూరంగా,दूर
until,வரை,വരുവോളം,వరకు,जब तक
power,சக்தி,ശക്തി,శక్తి,शक्ति
hour,மணி,മണിക്കൂർ,గంట,घंटा
game,விளையாட்டு,കളി,ఆట,खेल
often,அடிக்கடி,പലപ്പോഴും,తరచుగా,अक्सर
yet,இன்னும்,ഇനിയും,ఇంకా,अभी तक
line,வரி,ലൈൻ,లైన్,रेखा
political,அரசியல்,രാഷ്ട്രീയ,రాజకీయ,राजनीतिक
end,முடிவு,അവസാനിക്കുന്നു,ముగింపు,अंत
among,மத்தியில்,കൂട്ടത്തിൽ,మధ్య,के बीच
ever,எப்போதும்,എന്നേക്കും,ఎప్పుడూ,कभी
stand,நிற்க,നിൽക്കുക,నిలబడండి,खड़ा होना
bad,மோசமான,മോശം,చెడు,खराब
lose,இழக்க,നഷ്ടപ്പെടുക,కోల్పోతారు,खोना
however,எனினும்,എങ്കിലും,అయితే,तथापि
member,உறுப்பினர்,അംഗം,సభ్యుడు,सदस्य
pay,செலுத்து,പണം നൽകുക,చెల్లించాలి,वेतन
law,சட்டம்,നിയമം,చట్టం,कानून
meet,சந்திக்க,കണ്ടുമുട്ടുക,కలుసుకోవడం,मिलो
car,கார்,കാർ,కారు,कार
city,நகரம்,നഗരം,నగరం,शहर
almost,கிட்டத்தட்ட,ഏതാണ്ട്,దాదాపు,लगभग
include,சேர்க்கிறது,ഉൾപ്പെടുന്നു,చేర్చండి,शामिल करना
continue,தொடரவும்,തുടരുക,కొనసాగుతుంది,जारी रखना
set,அமைக்கப்பட்டது,സെറ്റ്,సెట్,तय करना
later,பின்னர்,പിന്നീട്,తరువాత,बाद में
community,சமூக,സമൂഹം,సంఘం,समुदाय
name,பெயர்,പേര്,పేరు,नाम
five,ஐந்து,അഞ്ച്,ఐదు,पाँच
once,ஒருமுறை,ഒരിക്കല്,ఒకసారి,एक बार
white,வெள்ளை,വെള്ള,తెలుపు,सफ़ेद
least,குறைந்தது,കുറഞ്ഞത്,కనీసం,कम से कम
president,ஜனாதிபதி,പ്രസിഡന്റ്,అధ్యక్షుడు,अध्यक्ष
learn,அறிய,പഠിക്കുക,నేర్చుకుంటారు,सीखना
real,உண்மையான,യഥാർത്ഥമായ,నిజమైన,असली
change,மாற்றம்,മാറ്റം,మార్పు,परिवर्तन
team,அணி,ടീം,జట్టు,टीम
minute,நிமிடம்,മിനിറ്റ്,నిమిషం,मिनट
best,சிறந்த,മികച്ചത്,ఉత్తమమైనది,श्रेष्ठ
several,பல,നിരവധി,అనేక,अनेक
idea,யோசனை,ആശയം,ఆలోచన,विचार
kid,குழந்தை,കൊച്ചു,చిన్నపిల్ల,बच्चा
body,உடல்,ശരീരം,శరీరం,शरीर
information,தகவல்,വിവരങ്ങൾ,సమాచారం,जानकारी
nothing,ஒன்றுமில்லை,ഒന്നുമില്ല,ఏమిలేదు,कुछ नहीं
ago,முன்பு,മുമ്പ്,క్రితం,पहले
lead,வழி நடத்து,നയിക്കുക,దారి,नेतृत्व करना
social,சமூக,സാമൂഹിക,సామాజిక,सामाजिक
understand,புரிந்து,മനസ്സിലാക്കുക,అర్థం చేసుకుంటారు,समझना
whether,என்பதை,എന്ന്,ఉందొ లేదో అని,चाहे
watch,பார்க்க,കാവൽ,వాచ్,घड़ी
together,ஒன்றாக,ഒരുമിച്ച്,కలిసి,एक साथ
follow,பின்பற்றவும்,പിന്തുടരുക,అనుసరించండి,अनुसरण करना
parent,பெற்றோர்,രക്ഷിതാവ്,తల్లిదండ్రులు,माता-पिता
stop,நிறுத்து,നിർത്തുക,ఆపండి,रुकना
face,முகம்,മുഖം,ముఖం,चेहरा
anything,எதுவும்,എന്തും,ఏదైనా,कुछ भी
create,உருவாக்க,സൃഷ്ടിക്കാൻ,సృష్టించు,बनाएं
public,பொது,പൊതു,ప్రజా,जनता
already,ஏற்கனவே,ഇതിനകം,ఇప్పటికే,पहले से
speak,பேசு,സംസാരിക്കുക,మాట్లాడతారు,बोलना
others,மற்றவைகள்,മറ്റുള്ളവർ,ఇతరులు,अन्य
read,படி,വായിച്ചു,చదవండి,पढ़ना
level,நிலை,നില,స్థాయి,स्तर
allow,அனுமதிக்க,അനുവദിക്കുക,అనుమతిస్తాయి,अनुमति दें
add,கூட்டு,ചേർക്കുക,జోడించు,जोड़ना
office,அலுவலகம்,ഓഫീസ്,కార్యాలయం,कार्यालय
spend,செலவு,ചെലവഴിക്കുക,ఖర్చు చేస్తారు,खर्च करना
door,கதவு,വാതിൽ,తలుపు,दरवाजा
health,ஆரோக்கியம்,ആരോഗ്യം,ఆరోగ్యం,स्वास्थ्य
person,நபர்,വ്യക്തി,వ్యక్తి,व्यक्ति
art,கலை,കല,కళ,कला
sure,நிச்சயம்,ഉറപ്പാണ്,ఖచ్చితంగా,ज़रूर
war,போர்,യുദ്ധം,యుద్ధం,युद्ध
history,வரலாறு,ചരിത്രം,చరిత్ర,इतिहास
party,கட்சி,പാർട്ടി,పార్టీ,दल
within,உள்ளே,ഉള്ളിൽ,లోపల,अंदर
grow,வளர,വളരുക,పెరుగు,बढ़ना
result,விளைவாக,ഫലമായി,ఫలితం,परिणाम
open,திறந்த,തുറക്കുക,తెరవండి,खुला
morning,காலை,രാവിലെ,ఉదయం,सुबह
walk,நட,നടക്കുക,నడవండి,टहलना
reason,காரணம்,കാരണം,కారణం,कारण
low,குறைந்த,താഴ്ന്ന,తక్కువ,कम
win,வெற்றி,ജയിക്കുക,గెలుపు,जीतना
research,ஆராய்ச்சி,ഗവേഷണം,పరిశోధన,अनुसंधान
girl,பெண்,പെൺകുട്ടി,అమ్మాయి,लड़की
guy,பையன்,guy,వ్యక్తి,लड़का
early,ஆரம்ப,നേരത്തെ,ప్రారంభ,जल्दी
food,உணவு,ഭക്ഷണം,ఆహారం,खाना
moment,கணம்,നിമിഷം,క్షణం,पल
himself,தன்னை,സ്വയം,తాను,वह स्वयं
air,காற்று,വായു,గాలి,वायु
teacher,ஆசிரியர்,അധ്യാപകൻ,గురువు,अध्यापक
force,படை,ശക്തിയാണ്,బలవంతం,बल
offer,சலுகை,ഓഫർ,ఆఫర్,प्रस्ताव
enough,போதும்,മതി,చాలు,पर्याप्त
education,கல்வி,വിദ്യാഭ്യാസം,చదువు,शिक्षा
across,முழுவதும்,കുറുകെ,అంతటా,आर-पार
although,என்றாலும்,എങ്കിലും,అయినప్పటికీ,हालांकि
remember,நினைவில் கொள்க,ഓർക്കുക,గుర్తుంచుకోవాలి,याद करना
foot,கால்,കാൽ,అడుగు,पैर
second,இரண்டாவது,രണ്ടാമത്തേത്,రెండవ,दूसरा
boy,சிறுவன்,ആൺകുട്ടി,అబ్బాయి,लड़का
maybe,இருக்கலாம்,ഒരുപക്ഷേ,బహుశా,शायद
toward,நோக்கி,നേരെ,వైపు,की ओर
able,முடியும்,കഴിവുള്ള,చేయగలరు,योग्य
age,வயது,പ്രായം,వయస్సు,आयु
policy,கொள்கை,നയം,విధానం,नीति
everything,எல்லாம்,എല്ലാം,ప్రతిదీ,सब कुछ
love,அன்பு,സ്നേഹം,ప్రేమ,प्यार
process,செயல்முறை,പ്രക്രിയ,ప్రక్రియ,प्रक्रिया
music,இசை,സംഗീതം,సంగీతం,संगीत
including,உட்பட,ഉൾപ്പെടെ,సహా,शामिल
consider,கருதுகின்றனர்,പരിഗണിക്കുക,పరిగణించండి,विचार करना
appear,தோன்றும்,പ്രത്യക്ഷപ്പെടുക,కనిపిస్తాయి,के जैसा लगना
actually,உண்மையில்,യഥാർത്ഥത്തിൽ,నిజానికి,वास्तव में
buy,வாங்க,വാങ്ങാൻ,కొనుగోలు,खरीदना
probably,அநேகமாக,ഒരുപക്ഷേ,బహుశా,शायद
human,மனிதன்,മനുഷ്യൻ,మానవుడు,इंसान
wait,காத்திரு,കാത്തിരിക്കുക,వేచి ఉండండి,इंतज़ार
serve,சேவை,സേവിക്കുക,అందజేయడం,सेवा करना
market,சந்தை,വിപണി,సంత,बाज़ार
die,இறக்கின்றன,മരിക്കുന്നു,చనిపోతారు,मरना
send,அனுப்பு,അയയ്ക്കുക,పంపండి,भेजना
expect,எதிர்பார்க்கலாம்,പ്രതീക്ഷിക്കുക,ఆశించవచ్చు,अपेक्षा करना
sense,உணர்வு,ഇന്ദ്രിയം,భావం,समझ
build,கட்ட,പണിയുക,నిర్మించు,निर्माण
stay,தங்க,താമസിക്കുക,ఉండు,रहना
fall,வீழ்ச்சி,വീഴുന്നു,పతనం,गिरना
oh,ஓ,ഓ,ఓహ్,ओह
nation,நாடு,രാഷ്ട്രം,దేశం,राष्ट्र
plan,திட்டம்,പദ്ധതി,ప్రణాళిక,योजना
cut,வெட்டு,വെട്ടി,కట్,काटना
college,கல்லூரி,കോളേജ്,కళాశాల,कॉलेज
interest,ஆர்வம்,പലിശ,ఆసక్తి,दिलचस्पी
death,இறப்பு,മരണം,మరణం,मौत
course,நிச்சயமாக,കോഴ്സ്,కోర్సు,अवधि
someone,யாரோ,ആരെങ്കിലും,ఎవరైనా,कोई
experience,அனுபவம்,അനുഭവം,అనుభవం,अनुभव
behind,பின்னால்,പിന്നിൽ,వెనుక,पीछे
reach,அடைய,എത്തിച്ചേരുക,చేరుకుంటాయి,पहुँचना
local,உள்ளூர்,പ്രാദേശികമായ,స్థానిక,स्थानीय
kill,கொல்ல,കൊല്ലുക,చంపేస్తాయి,मारना
six,ஆறு,ആറ്,ఆరు,छह
remain,இருக்கும்,അവശേഷിക്കുന്നു,మిగిలి ఉన్నాయి,अवशेष
effect,விளைவு,ഫലം,ప్రభావం,प्रभाव
yeah,ஆம்,അതെ,అవును,हाँ
suggest,பரிந்துரை,നിർദ്ദേശിക്കുക,సూచించండి,सुझाव देना
class,வர்க்கம்,ക്ലാസ്,తరగతి,कक्षा
control,கட்டுப்பாடு,നിയന്ത്രണം,నియంత్రణ,नियंत्रण
raise,உயர்த்த,ഉയർത്തുക,పెంచండి,उठाना
care,பராமரிப்பு,കെയർ,శ్రమ,देखभाल
perhaps,ஒருவேளை,ഒരുപക്ഷേ,బహుశా,शायद
late,தாமதமாக,വൈകി,ఆలస్యం,देर
hard,கடினமான,കഠിനമായ,కష్టం,मुश्किल
field,களம்,വയൽ,ఫీల్డ్,मैदान
else,வேறு,വേറെ,లేకపోతే,अन्य
pass,பாஸ்,കടന്നുപോകുക,పాస్,उत्तीर्ण
former,முன்னாள்,മുൻ,మాజీ,पूर्व
sell,விற்க,വിൽക്കുക,అమ్ముతారు,बेचना
major,முக்கிய,പ്രധാന,ప్రధాన,प्रमुख
sometimes,சில நேரங்களில்,ചിലപ്പോൾ,కొన్నిసార్లు,कभी-कभी
require,தேவை,ആവശ്യപ്പെടുന്നു,అవసరం,ज़रूरत होना
along,சேர்த்து,കൂടെ,పాటు,साथ में
development,வளர்ச்சி,വികസനം,అభివృద్ధి,विकास
themselves,தங்களை,സ്വയം,తమను తాము,खुद
report,அறிக்கை,റിപ്പോർട്ട്,నివేదిక,प्रतिवेदन
role,பங்கு,പങ്ക്,పాత్ర,भूमिका
better,சிறந்தது,മെച്ചപ്പെട്ട,మంచి,बेहतर
economic,பொருளாதார,സാമ്പത്തിക,ఆర్థిక,आर्थिक
effort,முயற்சி,പരിശ്രമം,కృషి,कोशिश
decide,முடிவு,തീരുമാനിക്കുക,నిర్ణయించుకుంటారు,तय करना
rate,விகிதம்,നിരക്ക്,రేటు,दर
strong,வலுவான,ശക്തമായ,బలమైన,मज़बूत
possible,சாத்தியம்,സാധ്യമാണ്,సాధ్యం,संभव
heart,இதயம்,ഹൃദയം,గుండె,दिल
drug,மருந்து,മയക്കുമരുന്ന്,మందు,दवाई
leader,தலைவர்,നേതാവ്,నాయకుడు,नेता
light,ஒளி,വെളിച്ചം,కాంతి,रोशनी
voice,குரல்,ശബ്ദം,వాయిస్,आवाज़
wife,மனைவி,ഭാര്യ,భార్య,पत्नी
whole,முழுவதும்,മുഴുവൻ,మొత్తం,साबुत
police,காவல்,പോലീസ്,పోలీసు,पुलिस
mind,மனம்,മനസ്സ്,మనసు,दिमाग
finally,இறுதியாக,ഒടുവിൽ,చివరకు,अंत में
pull,இழுக்க,വലിക്കുക,లాగండి,खींचो
return,திரும்ப,മടങ്ങുക,తిరిగి,वापस करना
free,இலவசம்,സൗ ജന്യം,ఉచిత,मुक्त
military,இராணுவ,സൈനിക,సైనిక,सैन्य
price,விலை,വില,ధర,कीमत
less,குறைவாக,കുറവ്,తక్కువ,कम
according,படி,പ്രകാരം,ప్రకారం,अनुसार
decision,முடிவு,തീരുമാനം,నిర్ణయం,फ़ैसला
explain,விளக்க,വിശദീകരിക്കാൻ,వివరించండి,व्याख्या करना
son,மகன்,മകൻ,కొడుకు,बेटा
hope,நம்பிக்கை,പ്രത്യാശ,ఆశిస్తున్నాము,आशा
develop,உருவாக்க,വികസിപ്പിക്കുക,అభివృద్ధి,विकास करना
view,பார்வை,കാഴ്ച,వీక్షణ,देखना
relationship,உறவு,ബന്ധം,సంబంధం,संबंध
carry,சுமந்து செல்,കൊണ്ടുപോകുക,తీసుకువెళ్లండి,ढोना
town,நகரம்,പട്ടണം,పట్టణం,शहर
road,சாலை,റോഡ്,త్రోవ,सड़क
drive,ஓட்டு,ഡ്രൈവ് ചെയ്യുക,డ్రైవ్,गाड़ी चलाना
arm,கை,കൈക്ക്,చేయి,हाथ
TRUE,உண்மை,സത്യം,నిజం,सत्य
federal,கூட்டாட்சியின்,ഫെഡറൽ,సమాఖ్య,संघीय
break,உடைக்க,ബ്രേക്ക്,బ్రేక్,तोड़ना
difference,வேறுபாடு,വ്യത്യാസം,తేడా,अंतर
thank,நன்றி,നന്ദി,ధన్యవాదాలు,धन्यवाद
receive,பெறும்,സ്വീകരിക്കുക,అందుకుంటారు,प्राप्त करें
value,மதிப்பு,മൂല്യം,విలువ,कीमत
international,சர்வதேச,അന്താരാഷ്ട്ര,అంతర్జాతీయ,अंतरराष्ट्रीय
building,கட்டிடம்,കെട്ടിടം,కట్టడం,इमारत
action,நடவடிக்கை,നടപടി,చర్య,कार्रवाई
full,முழு,നിറഞ്ഞു,పూర్తి,भरा हुआ
model,மாதிரி,മാതൃക,మోడల్,नमूना
join,சேர,ചേരുക,చేరండి,जोड़ना
season,பருவம்,സീസൺ,బుతువు,मौसम
society,சமூகம்,സമൂഹം,సమాజం,समाज
tax,வரி,നികുതി,పన్ను,कर
director,இயக்குனர்,സംവിധായകൻ,దర్శకుడు,निदेशक
position,நிலை,സ്ഥാനം,స్థానం,पद
player,ஆட்டக்காரர்,കളിക്കാരൻ,ఆటగాడు,खिलाड़ी
